2391.0, 2767.0, 79.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0054.JPG, 05-09 19:55:22, 1, Auto
2505.0, 2799.0, 62.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0055.JPG, 05-09 19:55:52, 0, Auto
2397.0, 2764.0, 79.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0055.JPG, 05-09 19:55:52, 1, Auto
2505.0, 2798.0, 62.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0056.JPG, 05-09 19:56:22, 0, Auto
2397.0, 2764.0, 78.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0056.JPG, 05-09 19:56:22, 1, Auto
2505.0, 2798.0, 62.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0057.JPG, 05-09 19:56:52, 0, Auto
2399.0, 2764.0, 78.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0057.JPG, 05-09 19:56:52, 1, Auto
2505.0, 2797.0, 62.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0058.JPG, 05-09 19:57:22, 0, Auto
2403.0, 2760.0, 78.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0058.JPG, 05-09 19:57:22, 1, Auto
2505.0, 2796.0, 62.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0059.JPG, 05-09 19:57:52, 0, Auto
2402.0, 2760.0, 78.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0059.JPG, 05-09 19:57:52, 1, Auto
