180.0, 1730.0, 38.0, 78.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6544_CROPED.jpg, path time not found, 0, Auto
756.0, 1811.0, 89.0, 111.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6544_CROPED.jpg, path time not found, 1, Auto
180.0, 1730.0, 38.0, 78.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6545_CROPED.jpg, path time not found, 0, Auto
756.0, 1811.0, 89.0, 111.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6545_CROPED.jpg, path time not found, 1, Auto
180.0, 1730.0, 38.0, 78.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6546_CROPED.jpg, path time not found, 0, Auto
755.0, 1810.0, 91.0, 114.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6546_CROPED.jpg, path time not found, 1, Auto
180.0, 1730.0, 38.0, 78.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6547_CROPED.jpg, path time not found, 0, Auto
754.0, 1809.0, 91.0, 114.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6547_CROPED.jpg, path time not found, 1, Auto
181.0, 1732.0, 37.0, 75.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6548_CROPED.jpg, path time not found, 0, Auto
754.0, 1809.0, 91.0, 114.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6548_CROPED.jpg, path time not found, 1, Auto
180.0, 1730.0, 38.0, 78.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6549_CROPED.jpg, path time not found, 0, Auto
752.0, 1809.0, 91.0, 114.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6549_CROPED.jpg, path time not found, 1, Auto
181.0, 1732.0, 37.0, 75.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6550_CROPED.jpg, path time not found, 0, Auto
752.0, 1808.0, 91.0, 114.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6550_CROPED.jpg, path time not found, 1, Auto
180.0, 1730.0, 38.0, 78.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6551_CROPED.jpg, path time not found, 0, Auto
752.0, 1808.0, 91.0, 114.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6551_CROPED.jpg, path time not found, 1, Auto
180.0, 1732.0, 37.0, 75.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\115\side\1\6552_CROPED.jpg, path time not found, 0, Auto
