2128, 1578, 39, 50, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7025.JPG, 23-03 10:55:34, 0, Start 
1150.0, 1160.0, 39.0, 53.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7069.JPG, 23-03 11:17:34, 1, Auto
1274.0, 1086.0, 35.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7070.JPG, 23-03 11:18:04, 0, Auto
1141.0, 1136.0, 39.0, 53.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7070.JPG, 23-03 11:18:04, 1, Auto
1267.0, 1061.0, 35.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7071.JPG, 23-03 11:18:34, 0, Auto
1137.0, 1112.0, 40.0, 55.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7071.JPG, 23-03 11:18:34, 1, Auto
1264.0, 1036.0, 35.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7072.JPG, 23-03 11:19:04, 0, Auto
1139.0, 1090.0, 40.0, 55.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7072.JPG, 23-03 11:19:04, 1, Auto
1265.0, 1011.0, 35.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7073.JPG, 23-03 11:19:34, 0, Auto
1146.0, 1069.0, 40.0, 55.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7073.JPG, 23-03 11:19:34, 1, Auto
1279.0, 986.0, 35.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7074.JPG, 23-03 11:20:04, 0, Auto
1166.0, 1049.0, 40.0, 55.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7074.JPG, 23-03 11:20:04, 1, Auto
1276.0, 964.0, 35.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7075.JPG, 23-03 11:20:34, 0, Auto
1195.0, 1033.0, 39.0, 54.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7075.JPG, 23-03 11:20:34, 1, Auto
1253.0, 976.0, 35.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\105\side\1\DSC_7076.JPG, 23-03 11:21:04, 0, Auto
